fold,regime,ablation,auc,macro_f1,recall_0,accuracy
7,unseen_both,no_first_fixation,0.3819444444444444,0.43478260869565216,0.0,0.7692307692307693
7,unseen_both,no_paragraph_rt,0.47638888888888886,0.43478260869565216,0.0,0.7692307692307693
7,unseen_both,no_late,0.3472222222222222,0.43478260869565216,0.0,0.7692307692307693
7,unseen_both,no_early,0.462037037037037,0.43478260869565216,0.0,0.7692307692307693
8,unseen_reader,combined_full,0.5244302536762553,0.44662034112444726,0.0,0.8070776255707762
8,unseen_reader,no_regression,0.5436672999506206,0.44662034112444726,0.0,0.8070776255707762
8,unseen_reader,no_first_fixation,0.49861905040884474,0.44662034112444726,0.0,0.8070776255707762
8,unseen_reader,no_paragraph_rt,0.5353020931848045,0.44662034112444726,0.0,0.8070776255707762
8,unseen_reader,no_late,0.5246938895072939,0.44662034112444726,0.0,0.8070776255707762
8,unseen_reader,no_early,0.5271628599884502,0.44662034112444726,0.0,0.8070776255707762
8,unseen_text,combined_full,0.48783801696712625,0.4318630678077683,0.0,0.7601390498261877
8,unseen_text,no_regression,0.5454076823376929,0.4318630678077683,0.0,0.7601390498261877
8,unseen_text,no_first_fixation,0.5068266171792153,0.43148880105401843,0.0,0.7589803012746235
8,unseen_text,no_paragraph_rt,0.5000478673264993,0.43148880105401843,0.0,0.7589803012746235
8,unseen_text,no_late,0.4987517674089784,0.4369552548900375,0.004830917874396135,0.761297798377752
8,unseen_text,no_early,0.4940828620242724,0.4318630678077683,0.0,0.7601390498261877
8,unseen_both,combined_full,0.4829118250170882,0.44508670520231214,0.0,0.8020833333333334
8,unseen_both,no_regression,0.43267259056732743,0.44508670520231214,0.0,0.8020833333333334
8,unseen_both,no_first_fixation,0.31749829118250167,0.44508670520231214,0.0,0.8020833333333334
8,unseen_both,no_paragraph_rt,0.33663704716336296,0.44508670520231214,0.0,0.8020833333333334
8,unseen_both,no_late,0.4647983595352016,0.44508670520231214,0.0,0.8020833333333334
8,unseen_both,no_early,0.4576213260423787,0.44508670520231214,0.0,0.8020833333333334
9,unseen_reader,combined_full,0.49232544141252005,0.45524296675191817,0.0,0.8356807511737089
9,unseen_reader,no_regression,0.5408657704654896,0.45524296675191817,0.0,0.8356807511737089
9,unseen_reader,no_first_fixation,0.49695525682182984,0.45524296675191817,0.0,0.8356807511737089
9,unseen_reader,no_paragraph_rt,0.5187600321027287,0.45524296675191817,0.0,0.8356807511737089
9,unseen_reader,no_late,0.5260583868378812,0.45489443378119004,0.0,0.8345070422535211
9,unseen_reader,no_early,0.48791131621187805,0.45454545454545453,0.0,0.8333333333333334
9,unseen_text,combined_full,0.5220463853276354,0.4637537239324727,0.0,0.8648148148148148
9,unseen_text,no_regression,0.510056831671415,0.4642857142857143,0.0,0.8666666666666667
9,unseen_text,no_first_fixation,0.5167749881291548,0.46322067594433397,0.0,0.8629629629629629
9,unseen_text,no_paragraph_rt,0.5272695572174739,0.4642857142857143,0.0,0.8666666666666667
9,unseen_text,no_late,0.5004266084995251,0.4637537239324727,0.0,0.8648148148148148
9,unseen_text,no_early,0.5299442070275404,0.4698507462686567,0.006944444444444444,0.8629629629629629
9,unseen_both,combined_full,0.49373638344226584,0.4594594594594595,0.0,0.85
9,unseen_both,no_regression,0.4950980392156863,0.4594594594594595,0.0,0.85
9,unseen_both,no_first_fixation,0.4515250544662309,0.45701357466063347,0.0,0.8416666666666667
9,unseen_both,no_paragraph_rt,0.4278322440087146,0.4594594594594595,0.0,0.85
